origin_apk	original_path	target_path	density	purpose	source_sha256	target_sha256	byte_status
KeyguardSmartisan.apk	res/layout/keyguard_host_view_delta.xml	res/layout/keyguard_host_view_delta.xml	default	host_layout	5aa771ca888dd2b64de0da48cf8c8e33e098547a5b31d349efae549274dfe78c	5aa771ca888dd2b64de0da48cf8c8e33e098547a5b31d349efae549274dfe78c	exact
KeyguardSmartisan.apk	res/layout/tpage_layout.xml	res/layout/tpage_layout.xml	default	tpage_root	4c55157714f2c6b21ed4983442a2fcf724e0da12e5034f4623a4d971cea859a9	4c55157714f2c6b21ed4983442a2fcf724e0da12e5034f4623a4d971cea859a9	exact
KeyguardSmartisan.apk	res/layout/tpage_main_layout.xml	res/layout/tpage_main_layout.xml	default	main_page	b40694647c4762517d29f68273472397bade0bef75da34b30672d9ec9de12d64	b40694647c4762517d29f68273472397bade0bef75da34b30672d9ec9de12d64	exact
KeyguardSmartisan.apk	res/layout/tpage_widgets_layout.xml	res/layout/tpage_widgets_layout.xml	default	widget_page	aac133bf8858f55eba5f380e57dba9491bc13cc0407eb9685c6f67f1f9467006	aac133bf8858f55eba5f380e57dba9491bc13cc0407eb9685c6f67f1f9467006	exact
KeyguardSmartisan.apk	res/layout-xxhdpi/tpage_music_widget_view.xml	res/layout-xxhdpi/tpage_music_widget_view.xml	xxhdpi	music_widget	b74bee280ce7126bea8ce7bd2285680b3210be6c391321b0c6fb4f171ceb8f99	b74bee280ce7126bea8ce7bd2285680b3210be6c391321b0c6fb4f171ceb8f99	exact
KeyguardSmartisan.apk	res/layout-xxhdpi/tpage_weather_widget_view.xml	res/layout-xxhdpi/tpage_weather_widget_view.xml	xxhdpi	weather_widget	91971d67b4e2c1dea4915465550822e88c90f765ea28af1edf5547cee1dfd34c	91971d67b4e2c1dea4915465550822e88c90f765ea28af1edf5547cee1dfd34c	exact
KeyguardSmartisan.apk	res/layout/tpage_recorder_widget_view.xml	res/layout/tpage_recorder_widget_view.xml	default	recorder_widget	9733102974fbb35c9898d1839b8746ceccb786179a8386ef6dca27fb9737c485	9733102974fbb35c9898d1839b8746ceccb786179a8386ef6dca27fb9737c485	exact
KeyguardSmartisan.apk	res/layout/wireless_charging_display.xml	res/layout/wireless_charging_display.xml	default	charging_display	0fe8f378b1e0025d1c226cf76b014867a6929740f9a2b6b87b50c524e5c5e814	0fe8f378b1e0025d1c226cf76b014867a6929740f9a2b6b87b50c524e5c5e814	exact
KeyguardSmartisan.apk	res/layout/wireless_charging_music.xml	res/layout/wireless_charging_music.xml	default	charging_music	e0c3e3e5f8a7f93468ae9a9bc900e93cc90bd67cd5fb2b8d43506ea5b4c24760	e0c3e3e5f8a7f93468ae9a9bc900e93cc90bd67cd5fb2b8d43506ea5b4c24760	exact
KeyguardSmartisan.apk	res/layout/keyguard_pattern_view.xml	r2-baseline/security/layout/keyguard_pattern_view.xml	default	security_baseline	e64a456b446e2af00ef5a87991e9de1451f62f7a3276c50bbe54978a981968bc	e64a456b446e2af00ef5a87991e9de1451f62f7a3276c50bbe54978a981968bc	exact
