source_artifact,source_path,target_path,density,purpose,source_sha256,target_sha256
SmartisanSystemUI.apk,res/drawable-xxhdpi-v4/notification_empty.png,res/drawable-xxhdpi/notification_empty.png,xxhdpi,Empty-shade icon,22316a56e6aea5b5fc9adffa21b4b9a2dbe07f3525e5938f23f9fd3bb84f74e3,22316a56e6aea5b5fc9adffa21b4b9a2dbe07f3525e5938f23f9fd3bb84f74e3
SmartisanSystemUI.apk,res/drawable-xxhdpi-v4/notification_panel_bg.9.png,res/drawable-xxhdpi/notification_panel_bg.9.png,xxhdpi,Empty-shade panel,bd629fc3000fdbbed61c2e6a8679ef6cc4de2a038df287111a0057e3781c2d5a,18e568b028cfdde98023b324cf88e30f082100b757b6ab9f4e0bd743556b6968
SmartisanSystemUI.apk,res/drawable-xxhdpi-v4/status_bar_close.9.png,res/drawable-xxhdpi/status_bar_close.9.png,xxhdpi,Shade close handle,7c15c3641897a05223598fd9857856a9d635e93cc3ce2cf98e11db71dcddefb5,7c15c3641897a05223598fd9857856a9d635e93cc3ce2cf98e11db71dcddefb5
R2-system-image,/system/fonts/AndroidClock.ttf,res/font/sos_android_clock.ttf,nodpi,Empty-shade clock,3f5d601c8dae846fabc9f0a9459429e6d7a1e16e1dd8462f39347f70573727f9,3f5d601c8dae846fabc9f0a9459429e6d7a1e16e1dd8462f39347f70573727f9
SmartisanSystemUI.apk,res/drawable-xxhdpi-v4/notification_header_panel_bg.png,res/drawable-xxhdpi/notification_header_panel_bg.png,xxhdpi,Shade header background,d5879d253b1150c58aa882da7eb2b82e9fc33331ca5c1f7efb5f6f885fc0fac1,d5879d253b1150c58aa882da7eb2b82e9fc33331ca5c1f7efb5f6f885fc0fac1
SmartisanSystemUI.apk,res/drawable-xxhdpi-v4/notification_header_panel_shadow.png,res/drawable-xxhdpi/notification_header_panel_shadow.png,xxhdpi,Shade header shadow,48ce56fab0e224d1fc3b6545afdd4a7c5c760cec7ff7645a2b45eda494699f88,48ce56fab0e224d1fc3b6545afdd4a7c5c760cec7ff7645a2b45eda494699f88
SmartisanSystemUI.apk,res/drawable-xxhdpi-v4/clear_all_bg_normal.png,res/drawable-xxhdpi/sos_clear_all_bg_normal.png,xxhdpi,Clear-all normal,29ef95eb0cf1d22bc400a38bf8e151ef42b14e19e592a33a306407ed44d4584b,29ef95eb0cf1d22bc400a38bf8e151ef42b14e19e592a33a306407ed44d4584b
SmartisanSystemUI.apk,res/drawable-xxhdpi-v4/clear_all_bg_pressed.png,res/drawable-xxhdpi/sos_clear_all_bg_pressed.png,xxhdpi,Clear-all pressed,f35685dd8f23858e182c4fa45faacecdb07cdb40b92df69b0661ce7db86cd8e0,f35685dd8f23858e182c4fa45faacecdb07cdb40b92df69b0661ce7db86cd8e0
SmartisanSystemUI.apk,res/drawable-xxhdpi-v4/noti_setting_btn_bg_normal.png,res/drawable-xxhdpi/sos_settings_bg_normal.png,xxhdpi,Settings normal,b1e12647220f37eead48b72966b92f5829371f2d18d6be57e0d01a0db356739a,b1e12647220f37eead48b72966b92f5829371f2d18d6be57e0d01a0db356739a
SmartisanSystemUI.apk,res/drawable-xxhdpi-v4/noti_setting_btn_bg_pressed.png,res/drawable-xxhdpi/sos_settings_bg_pressed.png,xxhdpi,Settings pressed,e7b84165ad10dd85aee6ee6871629d8b95f57727f13bf9c79bc3f1b507610f56,e7b84165ad10dd85aee6ee6871629d8b95f57727f13bf9c79bc3f1b507610f56
SmartisanSystemUI.apk,res/drawable-xxhdpi-v4/smartisan_notifications_btn_icon_normal.png,res/drawable-xxhdpi/smartisan_notifications_btn_icon_normal.png,xxhdpi,Notification page icon normal,171774337a9c420e1cc6e753adfd79251d997a749777503f319decc40f635f27,171774337a9c420e1cc6e753adfd79251d997a749777503f319decc40f635f27
SmartisanSystemUI.apk,res/drawable-xxhdpi-v4/smartisan_notifications_btn_icon_pressed.png,res/drawable-xxhdpi/smartisan_notifications_btn_icon_pressed.png,xxhdpi,Notification page icon pressed,171774337a9c420e1cc6e753adfd79251d997a749777503f319decc40f635f27,171774337a9c420e1cc6e753adfd79251d997a749777503f319decc40f635f27
SmartisanSystemUI.apk,res/drawable-xxhdpi-v4/smartisan_notifications_btn_normal.9.png,res/drawable-xxhdpi/smartisan_notifications_btn_normal.9.png,xxhdpi,Notification page button normal,76d896df3490ebd83b2c4867eedbe7870213315e93b4f6524ad2664ccff7010e,3b1b3019c1c389966f06aa27b427a910b773e5c89144d77c644a327afb4bdfad
SmartisanSystemUI.apk,res/drawable-xxhdpi-v4/smartisan_notifications_btn_pressed.9.png,res/drawable-xxhdpi/smartisan_notifications_btn_pressed.9.png,xxhdpi,Notification page button pressed,5a0ed93967f00fdde06d11ebfdc81c3fbba7bb1829db655b8d85943a8cfc067e,578ca39b53379cfdbc7ab13936c225d9b80cb56633e1a75ed8ac6be300240751
SmartisanSystemUI.apk,res/drawable-xxhdpi-v4/smartisan_widgets_btn_icon_normal.png,res/drawable-xxhdpi/smartisan_widgets_btn_icon_normal.png,xxhdpi,Quick-settings page icon normal,68ec72b25a3d22ec50b5fc5d1d8d681f6c8bca88fe6b0f7bec6224c616c7610e,68ec72b25a3d22ec50b5fc5d1d8d681f6c8bca88fe6b0f7bec6224c616c7610e
SmartisanSystemUI.apk,res/drawable-xxhdpi-v4/smartisan_widgets_btn_icon_pressed.png,res/drawable-xxhdpi/smartisan_widgets_btn_icon_pressed.png,xxhdpi,Quick-settings page icon pressed,68ec72b25a3d22ec50b5fc5d1d8d681f6c8bca88fe6b0f7bec6224c616c7610e,68ec72b25a3d22ec50b5fc5d1d8d681f6c8bca88fe6b0f7bec6224c616c7610e
SmartisanSystemUI.apk,res/drawable-xxhdpi-v4/smartisan_widgets_btn_normal.9.png,res/drawable-xxhdpi/smartisan_widgets_btn_normal.9.png,xxhdpi,Quick-settings page button normal,108f979269f127d5884f601dcb8464a3e38dc0f069b7c34a8a06e27dd871b431,b1ba8ff52e44101a5fe7f978c483fb332f87a6ba9e60077eb76a0b2e5b198421
SmartisanSystemUI.apk,res/drawable-xxhdpi-v4/smartisan_widgets_btn_pressed.9.png,res/drawable-xxhdpi/smartisan_widgets_btn_pressed.9.png,xxhdpi,Quick-settings page button pressed,30acdae865c9b5bdeec4bcf855c28deee49027ce8dc5af6bd60c484174423977,007ae025388f41c207d6c041a1b9e06aca2323bbec22f406527ead1cfe46135b
SmartisanSystemUI.apk,res/drawable/smartisan_notification_switch_btn_bg.xml,res/drawable/sos_notification_switch_btn_bg.xml,nodpi,Notification page selector,bfcdf2edc64a62d825f802efcf2684b3e618d96bd63febe966dfb6285b6b0169,393684053cbe6b4c7d08530f391add43bbf86cc55250119686ba58d85d6af3de
SmartisanSystemUI.apk,res/drawable/smartisan_notification_switch_btn_icon.xml,res/drawable/sos_notification_switch_btn_icon.xml,nodpi,Notification icon selector,dd20f8aad8a54fcf9342e9fa33bd311d6606968c82ee519034413a1fb02758b0,59ea7d60e6d4e55d9ca189b9405a17eb3d47bc8f422a5d09bf31ece9320bc520
SmartisanSystemUI.apk,res/drawable/smartisan_widget_switch_btn_bg.xml,res/drawable/sos_widget_switch_btn_bg.xml,nodpi,Quick-settings page selector,293d1f802f2854e479123da926d2f6a5dd36c39ecec74944af590f01f5abae6f,af21e7704f103d8df378414413984480adb2ca8d08fa6be105261f1d419965e9
SmartisanSystemUI.apk,res/drawable/smartisan_widget_switch_btn_icon.xml,res/drawable/sos_widget_switch_btn_icon.xml,nodpi,Quick-settings icon selector,8bc5b3ccc0507701cf0b915daf7eb3e23c294f38302df721464e1e3928ff0811,b84c4c1e496630f3ded0a86d7a0700e95a08450625240df2acb70ab7637b62eb
SmartisanSystemUI.apk,res/drawable/clear_all_bg.xml,res/drawable/sos_clear_all_bg.xml,nodpi,Clear-all selector,41db1e9a02648390307e699224ce1050b9ec66152d6c28461035c7f91d92c542,2065c75691ac65a373a629c36268a023bc8248ca8d3557a3cf01318b7679223f
SmartisanSystemUI.apk,res/drawable/settings_btn_bg.xml,res/drawable/sos_settings_button_bg.xml,nodpi,Settings selector,fe72708bb9c1ed61cb9b0724be50faada813350596c27b61fd0113607ea4ac24,4a0885a3215b95ded938acb51cd356566c4354340632b74091cbbedc18b3490a
